artist,similar artists - model 1: low p high q,similar artists - model 2: high p low q
Berliner Philharmoniker,"Alain Hitier, Mechthild Gessendorf, Wiener Philharmoniker, Berliner Philharmoniker Orchestra, Julius Pruwer, Carol Pritchett, David Clair, Horst Wilhelm, Wilhelm Walter Dicks, Walter Ludwig, Lilo Brockhaus, Elke Grosshans, Willi Domgraf, Siegfried Borries, Robert Koffmane, Helga Jenckel, Gisela Vivarelli, Bruno Kittel Choir, Anne-Marie Tostain, Karl Steins","Berliner Philharmoniker Orchestra, Wolfgang Böttcher, Herbert von Karajan, Violine Berlin Philharmonic, Dietrich Gerhardt, Edith Picht-Axenfeld, Joseph Traxl, Wiener Philharmoniker, Members of Berliner Philharmoniker, Breslau Radio Orchestra, Leon Spierer, Karl Steins, WALTER BARRY, Neithart Resa, Hans-Joachim Westphal, Ottomar Borwitzky, Siegfried Borries, Manfred Braun, Orchestre Philharmonique d'Etat de Hambourg, Catherine Ott"
Wiener Philharmoniker,"Vienna State Opera Chorus, Karl Terhal, Zdenek Sousek, Franz Szkokan, Georg Monthy, Emanuel Brabec, Nikolaus Simkovsky, Zdenek Svehla, Jaroslav Soucek, Karl Ettl, Nello Romanato, Ljubomir Pantscheff, Anna Czakova, Franz Normann, Georgine Milinkovic, Josef Strauss, Knud Anderson, Sofia Radio Chorus, Jiri Zahradnicek, Hans Reautschigg","Vienna State Opera Chorus, Vienna State Opera Orchestra, Weiner Philharmoniker, William Wernigk, Ljubomir Pantscheff, Peter Klein, Ena Schlüter, Eberhard Wächter, Siegfried Rudolf Frese, Hilde Gueden, Gerda Happ, Anton Dermota, Nikolaus Simkovsky, August Jaresch, Edith Priessner, Erich Majkut, Herma Handl, Walter Berry, Franz Normann, Wiener Singverein"
