artist,similar artists - model 1: low p high q,similar artists - model 2: high p low q
Emil Gilels,"Leonid Kogan, Daniil Shafran, Yakov Zak, Emil Giles, Yakov Flier, Sviatoslav Richter, Kirill Kondrashin, Julius Katchen, Mstislav Rostropovich, Grigory Ginzburg, Anatol Ugorski, Ania Dorfmann, Dino Ciani, Karl Eliasberg, Hisako Kawamura, Van Cliburn, Elena Gilels, USSR State Symphony Orchestra, Anton Ginsburg, Oscar Levant","Elena Gilels, Vladimir Bunin, Yakov Zak, Yakov Flier, Leonid Kogan, Anton Ginsburg, USSR State Symphony Orchestra, Yuri Mouravlev, Vladimir Selivokhin, Nikolai Anosov, Grigory Ginzburg, Nikolai Kharkovsky, Maria Grinberg, Moscow Large Symphony Orchestra, Guenadi Rojdestvenski, Daniil Shafran, Karl Eliasberg, Ussr State Radio Orchestra, Emil Giles, Moscow Radio Orchestra"
Mitsuko Uchida,"Hiroko Ehara, Quartetto Bernini, Benjamin Hochman, Murray Perahia, German Wind Soloists, Grumiaux Trio, Peter Frankl, Charles Rosen, Frank Peter Zimmermann, Stuttgart Piano Trio, Christian Zacharias, Quartetto Italiano, Peter Aronsky, Claudio Abbado/Emmanuel Pahud/Berliner Philharmoniker, Sudwestfunk Symphony Orchestra Baden-Baden, Carl Seemann, Mozarteum Quartet Salzburg, Signum Quartet, Diastema Saxophone Quartet, Suske Quartett","Benjamin Hochman, Lisa Wellbaum, Ladies of the Cleveland Orchestra Chorus, Jakob Gimpel, Pierre-Laurent Aimard, Dieter Zechlin, Albert Ferber, Jeffrey Tate, Murray Perahia, Yuko Batik, Charles Rosen, Catherine Collard, Misha Goldstein, Seong-Jin Cho, Radu Lupu, Pinchas Zuckerman, Franklin Cohen, Peter Serkin, Dmitri Bashkirov, David Pittmann-Jennings"
Mstislav Rostropovich,"Emil Giles, Galina Vishnevskaya, Katherine Austin, Emil Gilels, Peter Howard, Orchestra of the Collegium Musicum, Lazar Dvoskin, Alexandre Stein, Borodin Quartet, Alexei Zybtsev, Leonid Kogan, Santiago Canon Valencia, Виктор Дубровский, Maxim Vengerov, Vladimir Feltsman, Sviatoslav Richter, Layton James, Дмитрий Шостакович, Симфонический оркестр Московской филармонии, National Symphony Orchestra Washington","Galina Vishnevskaya, Морис Равель, Alexander Dedyukhin, Tchaikovsky Choir, Антонин Дворжак, Boris Simsky, Dmitri Shebalin, Boris Khaikine, Vyacheslav Polozov, Stefan Szkafarowsky, Choeur Tchaikovsky, Alexandre Stein, Galina Gregorieva, Misha Raitzin, Russian Symphony Orchestra, Gregory Stolyarov, Роберт Шуман, Клод Дебюсси, Mark Reshetin, Mstislav Rostopovich"
Daniil Trifonov,"Alexandre Dossin, Igor Tchetuev, Haochen Zhang, Matthew Cameron, Olga Kern, Victor Merzhanov, Daniel Pollack, Rafael Orozco, Yulianna Avdeeva, Vladimir Sofronitsky, Olga Scheps, Adriel Gomez-Mansur, Denis Matsuev, Nina Kavtaradze, Mikhail Pletnev, Sophia Agranovich, Boris Bloch, Simon Barere, Raymond Trouard, Alexander Kobrin","Agustin Anievas, Yoram Ish-Hurwitz, Aldona Dvarionaité, Adriel Gomez-Mansur, Hwayoon Lee, Olga Kern, Alexandrina Pendachanska, Dmitry Shishkin, Rafael Orozco, Anna Kravtchenko, Yulianna Avdeeva, Dudana Mazmanishvili, Seong-Jin Cho, Soyeon Kate Lee, Simon Barere, Georgijs Osokins, Daniel Pollack, Mikhail Rudy, Alexandre Dossin, Luxembourg Philharmonia"
Evgeny Kissin,"Hiroshi Oshima, Kristina Clemenz, Vladimir Sofronitsky, Ivo Pogorelich, Misha Goldstein, Eva Sukova, Eugene Mursky, Shura Cherkassky, Emerson String Quartet, Sophia Agranovich, Vladimir Feltsman, Moscow Philharmonic Orchestra, Byron Janis, Anatol Ugorski, Rudolf Kerer, Yu Kosuge, Calm Classic, Camille Capasso, Alexandre Dossin, Maurizio Pollini","Kristina Clemenz, Hiroshi Oshima, Friedrich Molsberger, Camille Capasso, Alexander Ghindin, Moscow Philharmonic State Symphony Orchestra, Arcadi Volodos, Yakov Flier, Araksia Davtyan, Yelena Adjemova, Oxana Yablonskaya, Vladimir Sofronitsky, Dmitri Kortchak, Andrey Azovsky, Sveshnikov Boys and Men's Choir, Nikita Mndoyants, Vladimir Krainev, Nikolai Petrov, Israela Margalit, Oleg Yanchenko"
Yuja Wang,"Gustavo Dudamel, Los Angeles Philharmonic, Vadym Kholodenko, Lionel Bringuier, Ivo Pogorelich, Norbert Kirchmann, Freddy Kempf, Haochen Zhang, Nikolai Petrov, Michel Block, Alexander Brailowsky, Mirka Pokorna, Katya Apekisheva, Benjamin Moser, Nikolai Lugansky, Tonhalle Orchester Zürich, Wibi Soerjadi, Polina Leschenko, Saint Petersburg State Capella Symphony Orchestra, Alexander Kobrin","Lionel Bringuier, Gustavo Dudamel, Simón Bolívar Symphony Orchestra Of Venezuela, Peter Orth, Gianluca Imperato, Jeff Mee, Maarten van Veen, Soyeon Kate Lee, Michel Block, Nicholas Angelich, York 2, Erika Haase, Arseny Tarasevich-Nikolaev, Frédéric d'Oria-Nicolas, Freddy Kempf, Adriel Gomez-Mansur, Boris Bekhterev, Seppo Kantonen, Brian Cummings, Eduard Stan"
