artist,similar artists - window size 5,similar artists - window size 20
Ludwig van Beethoven,"Florian Paul, Peter Popa, Johannes Brahms, Vincent Lièvre-Picard, Dania El Zein, Levente Filip, Juliette Allen, Andrea Musto, The Key Ensemble, Mary Kathryn Van Osdale, Robert Schumann, Zsolt Szatmári, Sándor Berki, Gyözö Máthé, Libero Lana, Kristin Sampson, Jean-François Rouchon, Júlia Gábor, György Éder, Young New Yorkers' Chorus","Johannes Brahms, Robert Schumann, Franz Schubert, Frédéric Chopin, Susanna Eyton-Jones, Young New Yorkers' Chorus, Central City Choir, Wolfgang Amadeus Mozart, Júlia Gábor, New York City Master Chorale, New Amsterdam Singers, Jan Wilson, Peter Popa, West Point Glee Club, James Archie Worley, Johanna Lehesvuori, Zágrábi Filharmonikus, Brearley Singers, Franz Liszt, Florian Paul"
Johannes Brahms,"Robert Schumann, Ludwig van Beethoven, Franz Schubert, Paul Roczek, Monika Henschel, Christian Kohn, Giselher Klebe, Dankwart Gahl, Irmgard Gahl, Karl Doktor, Peter Katt, Saiko Sasaki, Jürgen Uhde, Kunio Tsuchiya, Silke-Thora Matthies, Wilfred Tachezi, Alfred Malecek, Geoffroy Couteau, Lisa Carlyna Zumpano, Antonín Dvořák","Robert Schumann, Ludwig van Beethoven, Franz Schubert, Giselher Klebe, Gustav Lange, Frédéric Chopin, Antonín Dvořák, Gustav Uwe Jenner, Wolfgang Amadeus Mozart, Felix Mendelssohn, Franz Liszt, Max Bruch, Sergei Rachmaninoff, Pyotr Ilyich Tchaikovsky, Béla Bartók, Maurice Ravel, Edvard Grieg, David Wolfsthal, Tekla Bądarzewska-Baranowska, Osmo Tapio Räihälä"
